Protein	gene	Indistinguishable.Proteins	Description	ko_id
118	P193	932_SemiBin_124_contig_6655529_16		rank: D;Glycerophosphoryl diester phosphodiesterase family [PF03009.22] (db=pfam)	NA
119	P194	932_SemiBin_124_contig_6655529_22		rank: C;phosphate-selective porin OprO and OprP (db=kegg)	K07221
120	P195	932_SemiBin_124_contig_6655529_23		rank: C;glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46] (db=kegg)	K01126
121	P201	932_SemiBin_124_contig_6655540_2		rank: D;Family of unknown function (DUF6562) [PF20200.3] (db=pfam)	NA
122	P203	932_SemiBin_124_contig_6655544_5		rank: C;UDP-N-acetylglucosamine 4,6-dehydratase/5-epimerase [EC:4.2.1.115 5.1.3.-] (db=kegg)	K15894
123	P204	932_SemiBin_124_contig_6655545_14		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
124	P205	932_SemiBin_124_contig_6655545_18		rank: E	NA
125	P207	932_SemiBin_124_contig_6655546_2		rank: C;LemA protein (db=kegg)	K03744
126	P208	932_SemiBin_124_contig_6655547_7		rank: C;large subunit ribosomal protein L7/L12 (db=kegg)	K02935
127	P209	932_SemiBin_124_contig_6655549_2		rank: C;dolichol-phosphate mannosyltransferase [EC:2.4.1.83] (db=kegg)	K00721
128	P213	932_SemiBin_153_contig_6137021_2		rank: D;Iron-containing alcohol dehydrogenase [PF00465.24];Iron-containing alcohol dehydrogenase [PF13685.11] (db=pfam)	NA
129	P216	932_SemiBin_153_contig_6137030_13		rank: C;6-phospho-beta-glucosidase [EC:3.2.1.86] (db=kegg)	K01223
130	P217	932_SemiBin_153_contig_6137030_8		rank: C;cellobiose PTS system EIIC component (db=kegg)	K02761
131	P222	932_SemiBin_153_contig_6137044_15		rank: C;oligopeptide transport system substrate-binding protein (db=kegg)	K15580
132	P225	932_SemiBin_153_contig_6137050_12		rank: D;Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain [PF02800.25];Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain [PF00044.29] (db=pfam)	NA
133	P226	932_SemiBin_153_contig_6137054_14		rank: C;large subunit ribosomal protein L5 (db=kegg)	K02931
134	P232	932_SemiBin_153_contig_6137054_3		rank: C;large subunit ribosomal protein L4 (db=kegg)	K02926
135	P236	932_SemiBin_153_contig_6137054_8		rank: C;small subunit ribosomal protein S3 (db=kegg)	K02982
136	P238	932_SemiBin_153_contig_6137056_8		rank: C;superoxide reductase [EC:1.15.1.2] (db=kegg)	K05919
137	P243	932_SemiBin_153_contig_6137064_2		rank: C;starch synthase [EC:2.4.1.21] (db=kegg)	K00703
138	P244	932_SemiBin_153_contig_6137066_11		rank: C;basic membrane protein A and related proteins (db=kegg)	K07335
139	P245	932_SemiBin_153_contig_6137066_34		rank: C;cellobiose PTS system EIIB component [EC:2.7.1.196 2.7.1.205] (db=kegg)	K02760
140	P246	932_SemiBin_153_contig_6137067_2	937_SemiBin_159_contig_5264306_10, 956_SemiBin_215_contig_4668630_13, 972_SemiBin_103_contig_3787506_10, 983_SemiBin_140_contig_943783_33, 986_SemiBin_166_contig_1142830_7, MEGAHIT-MetaBAT2-S932.53_contig_2808074_41, MEGAHIT-MetaBAT2-S932.72_contig_1470515_2, MEGAHIT-MetaBAT2-S964.185_contig_75067_8, MEGAHIT-MetaBAT2-S970.51_contig_6451603_16, group3_bins.358_contig_4097499_14	rank: C;glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94] (db=kegg)	K00057
141	P247	932_SemiBin_153_contig_6137069_20		rank: C;fructose-bisphosphate aldolase, class II [EC:4.1.2.13] (db=kegg)	K01624
142	P249	932_SemiBin_153_contig_6137073_3		rank: E	NA
143	P250	932_SemiBin_153_contig_6137073_4		rank: D;GGGtGRT protein [PF14057.11] (db=pfam)	NA
144	P251	932_SemiBin_153_contig_6137076_49		rank: C;formate C-acetyltransferase [EC:2.3.1.54] (db=kegg)	K00656
145	P253	932_SemiBin_153_contig_6137080_3		rank: C;large subunit ribosomal protein L1 (db=kegg)	K02863
146	P254	932_SemiBin_153_contig_6137080_5		rank: C;large subunit ribosomal protein L7/L12 (db=kegg)	K02935
147	P258	932_SemiBin_153_contig_6137082_8		rank: C;IMP dehydrogenase [EC:1.1.1.205] (db=kegg)	K00088
148	P262	932_SemiBin_153_contig_6137091_13		rank: C;6-phosphofructokinase 1 [EC:2.7.1.11] (db=kegg)	K00850
149	P263	932_SemiBin_153_contig_6137093_1		rank: C;cellobiose PTS system EIIA component [EC:2.7.1.196 2.7.1.205] (db=kegg)	K02759
150	P264	932_SemiBin_153_contig_6137093_4		rank: C;elongation factor Tu (db=kegg)	K02358
151	P265	932_SemiBin_153_contig_6137093_5		rank: C;elongation factor G (db=kegg)	K02355
152	P267	932_SemiBin_153_contig_6137098_6		rank: C;pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] (db=kegg)	K03737
153	P269	932_SemiBin_153_contig_6137102_5		rank: C;mannose PTS system EIID component (db=kegg)	K02796
154	P272	932_SemiBin_153_contig_6137106_2		rank: C;ketol-acid reductoisomerase [EC:1.1.1.86] (db=kegg)	K00053
155	P274	932_SemiBin_153_contig_6137110_14		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)	K04077
156	P275	932_SemiBin_153_contig_6137110_22		rank: C;oligopeptide transport system substrate-binding protein (db=kegg)	K15580
157	P280	932_SemiBin_153_contig_6137112_8		rank: C;fructoselysine-6-phosphate deglycase (db=kegg)	K19510
158	P281	932_SemiBin_153_contig_6137114_2	955_SemiBin_256_contig_4164738_6, 956_SemiBin_125_contig_955017_1, 969_SemiBin_208_contig_4993909_1, 983_SemiBin_12_contig_3607349_2, MEGAHIT-MetaBAT2-S935.60_contig_5798630_11, MEGAHIT-MetaBAT2-S937.180_contig_3991023_13, MEGAHIT-MetaBAT2-S942.31_contig_2233024_18, MEGAHIT-MetaBAT2-S943.132_contig_6677440_1, MEGAHIT-MetaBAT2-S945.11_contig_1072363_9, MEGAHIT-MetaBAT2-S946.102_contig_5360153_10, MEGAHIT-MetaBAT2-S946.206_contig_4795463_1, MEGAHIT-MetaBAT2-S957.66_contig_2889911_1, MEGAHIT-MetaBAT2-S957.66_contig_2889935_3, MEGAHIT-MetaBAT2-S959.110_contig_6841156_4, MEGAHIT-MetaBAT2-S962.24_contig_2292242_4, MEGAHIT-MetaBAT2-S970.191_contig_2451136_1, group10_bins.334_contig_6684565_52, group6_bins.275_contig_5808781_8, group9_bins.155_contig_7048786_15, group9_bins.67_contig_2480453_1	rank: C;UDP-N-acetylglucosamine 4,6-dehydratase [EC:4.2.1.135] (db=kegg)	K24300
159	P282	932_SemiBin_153_contig_6137119_25		rank: C;glucose-1-phosphate adenylyltransferase [EC:2.7.7.27] (db=kegg)	K00975
160	P284	932_SemiBin_153_contig_6137119_27		rank: C;starch synthase [EC:2.4.1.21] (db=kegg)	K00703
161	P285	932_SemiBin_153_contig_6137120_10		rank: C;triosephosphate isomerase (TIM) [EC:5.3.1.1] (db=kegg)	K01803
162	P286	932_SemiBin_153_contig_6137120_3		rank: D;PTS system sorbose subfamily IIB component [PF03830.20] (db=pfam)	NA
163	P287	932_SemiBin_153_contig_6137120_4		rank: D;PTS system sorbose-specific iic component [PF03609.19] (db=pfam)	NA
164	P288	932_SemiBin_153_contig_6137120_5		rank: D;PTS system mannose/fructose/sorbose family IID component [PF03613.19] (db=pfam)	NA
165	P289	932_SemiBin_153_contig_6137120_9		rank: C;phosphoglycerate kinase [EC:2.7.2.3] (db=kegg)	K00927
166	P290	932_SemiBin_153_contig_6137122_5		rank: C;F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1] (db=kegg)	K02112
167	P291	932_SemiBin_153_contig_6137126_8		rank: D;Protein of unknown function (DUF969) [PF06149.17] (db=pfam)	NA
168	P292	932_SemiBin_153_contig_6137127_6		rank: C;6-phospho-beta-glucosidase [EC:3.2.1.86] (db=kegg)	K01223
169	P293	932_SemiBin_153_contig_6137128_8		rank: D;SPFH domain / Band 7 family [PF01145.30] (db=pfam)	NA
170	P294	932_SemiBin_153_contig_6137131_2	932_SemiBin_172_contig_661113_268, 935_SemiBin_113_contig_5971612_35, 937_SemiBin_148_contig_282730_8, 937_SemiBin_148_contig_282892_1, 948_SemiBin_209_contig_3427095_22, 950_SemiBin_52_contig_2899154_72, 951_SemiBin_94_contig_3789176_4, 956_SemiBin_137_contig_428296_17, 956_SemiBin_187_contig_5944640_24, 956_SemiBin_215_contig_4668628_6, 966_SemiBin_49_contig_5227346_2, 966_SemiBin_49_contig_5227412_10, 968_SemiBin_131_contig_4413989_4, 970_SemiBin_53_contig_3961056_1, 970_SemiBin_53_contig_3961157_2, 975_SemiBin_73_contig_4529482_6, 983_SemiBin_265_contig_1939120_8, 986_SemiBin_101_contig_4257410_6, 993_SemiBin_0_contig_4100166_23, MEGAHIT-MetaBAT2-S932.53_contig_2808073_13, MEGAHIT-MetaBAT2-S935.60_contig_5798644_8, MEGAHIT-MetaBAT2-S937.157_contig_4521515_8, MEGAHIT-MetaBAT2-S937.180_contig_3990917_15, MEGAHIT-MetaBAT2-S938.190_contig_1791607_27, MEGAHIT-MetaBAT2-S942.30_contig_4600073_4, MEGAHIT-MetaBAT2-S942.31_contig_2233050_2, MEGAHIT-MetaBAT2-S944.121_contig_6278415_33, MEGAHIT-MetaBAT2-S945.140_contig_1583677_3, MEGAHIT-MetaBAT2-S945.152_contig_4851794_54, MEGAHIT-MetaBAT2-S946.20_contig_6490362_35, MEGAHIT-MetaBAT2-S953.167_contig_3003221_32, MEGAHIT-MetaBAT2-S957.114_contig_3373050_5, MEGAHIT-MetaBAT2-S957.37_contig_3494452_19, MEGAHIT-MetaBAT2-S957.66_contig_2889897_1, MEGAHIT-MetaBAT2-S957.66_contig_2890058_2, MEGAHIT-MetaBAT2-S959.81_contig_4216973_4, MEGAHIT-MetaBAT2-S964.152_contig_6810344_5, MEGAHIT-MetaBAT2-S964.217_contig_4118485_4, MEGAHIT-MetaBAT2-S965.107_contig_5721049_8, MEGAHIT-MetaBAT2-S970.122_contig_4011721_18, MEGAHIT-MetaBAT2-S970.215_contig_2538789_3, MEGAHIT-MetaBAT2-S974.91_contig_4023634_2, MEGAHIT-MetaBAT2-S979.51_contig_4518047_36, MEGAHIT-MetaBAT2-S979.51_contig_4518070_14, MEGAHIT-MetaBAT2-S979.94_contig_4634261_8, MEGAHIT-MetaBAT2-S982.57_contig_3238400_4, MEGAHIT-MetaBAT2-S983.18_contig_3492584_8, MEGAHIT-MetaBAT2-S984.21_contig_1685421_3, MEGAHIT-MetaBAT2-S986.76_contig_2124151_2, MEGAHIT-MetaBAT2-S993.109_contig_3807210_3, MEGAHIT-MetaBAT2-S993.109_contig_3807259_14, group10_bins.56_contig_5598932_8, group10_bins.56_contig_5599073_14, group3_bins.134_contig_161180_8, group3_bins.134_contig_161187_39, group6_bins.237_contig_5427458_40, group6_bins.275_contig_5808776_14, group6_bins.56_contig_4161472_13, group6_bins.67_contig_2342647_88, group7_bins.133_contig_331870_3, group7_bins.175_contig_2605030_2, group7_bins.370_contig_4873654_2, group8_bins.276_contig_3510683_12, group8_bins.65_contig_6986577_3, group9_bins.268_contig_3174355_9, group9_bins.40_contig_1381817_4	rank: C;GTP pyrophosphokinase [EC:2.7.6.5] (db=kegg)	K07816
171	P295	932_SemiBin_153_contig_6137131_5		rank: C;ATP-dependent Clp protease ATP-binding subunit ClpB (db=kegg)	K03695
172	P296	932_SemiBin_153_contig_6137137_2		rank: C;acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1] (db=kegg)	K04072
173	P297	932_SemiBin_153_contig_6137142_21		rank: C;aspartyl-tRNA synthetase [EC:6.1.1.12] (db=kegg)	K01876
174	P301	932_SemiBin_153_contig_6137147_3		rank: C;small subunit ribosomal protein S6 (db=kegg)	K02990
175	P305	932_SemiBin_172_contig_661068_16		rank: D;SPFH domain / Band 7 family [PF01145.30] (db=pfam)	NA
176	P306	932_SemiBin_172_contig_661068_2	956_SemiBin_187_contig_5944739_5, MEGAHIT-MetaBAT2-S942.31_contig_2232971_6, group7_bins.370_contig_4873664_23	rank: C;large subunit ribosomal protein L31 (db=kegg)	K02909
177	P307	932_SemiBin_172_contig_661070_130		rank: C;histidinol dehydrogenase [EC:1.1.1.23] (db=kegg)	K00013
178	P310	932_SemiBin_172_contig_661070_156		rank: C;ammonium transporter, Amt family (db=kegg)	K03320
179	P312	932_SemiBin_172_contig_661070_177		rank: C;formate C-acetyltransferase [EC:2.3.1.54] (db=kegg)	K00656
180	P315	932_SemiBin_172_contig_661070_192		rank: C;elongation factor Ts (db=kegg)	K02357
181	P316	932_SemiBin_172_contig_661070_193		rank: C;small subunit ribosomal protein S2 (db=kegg)	K02967
182	P317	932_SemiBin_172_contig_661070_23		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)	K04077
183	P318	932_SemiBin_172_contig_661070_26		rank: C;glutaminyl-tRNA synthetase [EC:6.1.1.18] (db=kegg)	K01886
184	P319	932_SemiBin_172_contig_661070_53	956_SemiBin_187_contig_5944720_16, MEGAHIT-MetaBAT2-S942.31_contig_2233027_34, MEGAHIT-MetaBAT2-S987.11_contig_5769891_4	rank: C;chemotaxis protein MotA (db=kegg)	K02556
185	P321	932_SemiBin_172_contig_661070_83		rank: C;molecular chaperone DnaK (db=kegg)	K04043
186	P323	932_SemiBin_172_contig_661071_133	956_SemiBin_187_contig_5944637_33, MEGAHIT-MetaBAT2-S942.31_contig_2232946_3	rank: C;F-type H+-transporting ATPase subunit c (db=kegg)	K02110
187	P324	932_SemiBin_172_contig_661071_137	956_SemiBin_187_contig_5944637_37, MEGAHIT-MetaBAT2-S942.31_contig_2232946_7	rank: C;F-type H+-transporting ATPase subunit gamma (db=kegg)	K02115
188	P325	932_SemiBin_172_contig_661071_138		rank: C;F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1] (db=kegg)	K02112
189	P327	932_SemiBin_172_contig_661071_169		rank: C;glucose-1-phosphate adenylyltransferase [EC:2.7.7.27] (db=kegg)	K00975
190	P328	932_SemiBin_172_contig_661071_170		rank: C;glucose-1-phosphate adenylyltransferase [EC:2.7.7.27] (db=kegg)	K00975
191	P329	932_SemiBin_172_contig_661071_65		rank: C;phosphoglucomutase [EC:5.4.2.2] (db=kegg)	K01835
192	P332	932_SemiBin_172_contig_661077_56		rank: C;pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] (db=kegg)	K03737
193	P334	932_SemiBin_172_contig_661079_122		rank: C;flagellin (db=kegg)	K02406
194	P335	932_SemiBin_172_contig_661079_34		rank: C;rod shape-determining protein MreB and related proteins (db=kegg)	K03569
195	P336	932_SemiBin_172_contig_661079_4	983_SemiBin_321_contig_6582479_10, MEGAHIT-MetaBAT2-S932.72_contig_1470485_41, MEGAHIT-MetaBAT2-S934.132_contig_5200234_8, MEGAHIT-MetaBAT2-S942.153_contig_5812218_9, MEGAHIT-MetaBAT2-S957.66_contig_2890066_3, MEGAHIT-MetaBAT2-S967.229_contig_6869658_4	rank: C;2-iminoacetate synthase [EC:4.1.99.19] (db=kegg)	K03150
196	P338	932_SemiBin_172_contig_661079_49		rank: C;fructose-bisphosphate aldolase, class II [EC:4.1.2.13] (db=kegg)	K01624
197	P339	932_SemiBin_172_contig_661079_75		rank: C;molecular chaperone HtpG (db=kegg)	K04079
198	P343	932_SemiBin_172_contig_661090_31		rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)	K00262
199	P344	932_SemiBin_172_contig_661090_4		rank: C;elongation factor Tu (db=kegg)	K02358
200	P345	932_SemiBin_172_contig_661090_6		rank: C;small subunit ribosomal protein S7 (db=kegg)	K02992
201	P347	932_SemiBin_172_contig_661093_33		rank: C;argininosuccinate synthase [EC:6.3.4.5] (db=kegg)	K01940
202	P349	932_SemiBin_172_contig_661096_18		rank: C;cold shock protein (db=kegg)	K03704
203	P350	932_SemiBin_172_contig_661096_22		rank: C;transaldolase [EC:2.2.1.2] (db=kegg)	K00616
204	P351	932_SemiBin_172_contig_661096_27		rank: C;polar amino acid transport system permease protein (db=kegg)	K02029
205	P352	932_SemiBin_172_contig_661096_37	956_SemiBin_187_contig_5944651_12, MEGAHIT-MetaBAT2-S942.31_contig_2232964_15	rank: D;Response regulator receiver domain [PF00072.29] (db=pfam)	NA
206	P355	932_SemiBin_172_contig_661099_26		rank: C;flagellin (db=kegg)	K02406
207	P356	932_SemiBin_172_contig_661099_38		rank: C;CTP synthase [EC:6.3.4.2] (db=kegg)	K01937
208	P357	932_SemiBin_172_contig_661099_53	MEGAHIT-MetaBAT2-S942.31_contig_2233044_17	rank: D;CobW/HypB/UreG, nucleotide-binding domain [PF02492.24];Cobalamin synthesis protein cobW C-terminal domain [PF07683.19] (db=pfam)	NA
209	P359	932_SemiBin_172_contig_661101_23		rank: D;HD domain [PF13487.11];HD domain [PF01966.27] (db=pfam)	NA
210	P360	932_SemiBin_172_contig_661101_24		rank: C;adenylosuccinate lyase [EC:4.3.2.2] (db=kegg)	K01756
211	P361	932_SemiBin_172_contig_661101_26		rank: C;phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6] (db=kegg)	K01923
212	P362	932_SemiBin_172_contig_661101_44		rank: C;valyl-tRNA synthetase [EC:6.1.1.9] (db=kegg)	K01873
213	P368	932_SemiBin_172_contig_661103_48		rank: C;2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12] (db=kegg)	K15633
214	P369	932_SemiBin_172_contig_661103_51		rank: C;triosephosphate isomerase (TIM) [EC:5.3.1.1] (db=kegg)	K01803
215	P370	932_SemiBin_172_contig_661103_52		rank: C;phosphoglycerate kinase [EC:2.7.2.3] (db=kegg)	K00927
216	P371	932_SemiBin_172_contig_661103_53		rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)	K00134
217	P372	932_SemiBin_172_contig_661103_59		rank: E	NA
218	P375	932_SemiBin_172_contig_661106_23		rank: C;glutamine synthetase [EC:6.3.1.2] (db=kegg)	K01915
219	P376	932_SemiBin_172_contig_661106_32		rank: C;large subunit ribosomal protein L21 (db=kegg)	K02888
220	P378	932_SemiBin_172_contig_661106_55		rank: C;translation initiation factor IF-2 (db=kegg)	K02519
221	P380	932_SemiBin_172_contig_661106_75		rank: C;3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157] (db=kegg)	K00074
222	P382	932_SemiBin_172_contig_661106_77		rank: C;electron transfer flavoprotein beta subunit (db=kegg)	K03521
223	P383	932_SemiBin_172_contig_661106_78		rank: C;electron transfer flavoprotein alpha subunit (db=kegg)	K03522
224	P386	932_SemiBin_172_contig_661109_157		rank: C;recombination protein RecA (db=kegg)	K03553
225	P389	932_SemiBin_172_contig_661109_185	956_SemiBin_187_contig_5944757_14, 957_SemiBin_50_contig_4168158_7, MEGAHIT-MetaBAT2-S942.153_contig_5812445_5, MEGAHIT-MetaBAT2-S942.31_contig_2233068_12, MEGAHIT-MetaBAT2-S948.11_contig_4459169_3, MEGAHIT-MetaBAT2-S966.75_contig_3756011_6, MEGAHIT-MetaBAT2-S967.229_contig_6869548_3, MEGAHIT-MetaBAT2-S986.50_contig_2775668_6, group7_bins.133_contig_331857_103	rank: C;xylulokinase [EC:2.7.1.17] (db=kegg)	K00854
226	P391	932_SemiBin_172_contig_661109_187		rank: C;L-fucose/D-arabinose isomerase [EC:5.3.1.25 5.3.1.3] (db=kegg)	K01818
227	P392	932_SemiBin_172_contig_661109_209		rank: C;lactaldehyde reductase [EC:1.1.1.77] (db=kegg)	K00048
228	P393	932_SemiBin_172_contig_661109_3		rank: C;acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17] (db=kegg)	K00821
229	P396	932_SemiBin_172_contig_661109_92		rank: C;large subunit ribosomal protein L13 (db=kegg)	K02871
230	P401	932_SemiBin_172_contig_661112_70		rank: C;enolase 1/2/3 [EC:4.2.1.11] (db=kegg)	K01689
231	P403	932_SemiBin_172_contig_661112_96		rank: D;Carboxyl transferase domain [PF01039.27] (db=pfam)	NA
232	P404	932_SemiBin_172_contig_661113_1		rank: C;DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6] (db=kegg)	K03046
233	P405	932_SemiBin_172_contig_661113_110		rank: C;large subunit ribosomal protein L1 (db=kegg)	K02863
234	P406	932_SemiBin_172_contig_661113_111		rank: C;large subunit ribosomal protein L11 (db=kegg)	K02867
235	P411	932_SemiBin_172_contig_661113_242		rank: C;putative aldouronate transport system substrate-binding protein (db=kegg)	K17318
236	P412	932_SemiBin_172_contig_661113_243	MEGAHIT-MetaBAT2-S942.31_contig_2233032_27	rank: C;putative aldouronate transport system permease protein (db=kegg)	K17320
237	P413	932_SemiBin_172_contig_661113_245		rank: E	NA
238	P414	932_SemiBin_172_contig_661113_28		rank: C;small subunit ribosomal protein S4 (db=kegg)	K02986
239	P415	932_SemiBin_172_contig_661113_29	956_SemiBin_187_contig_5944759_24, MEGAHIT-MetaBAT2-S957.66_contig_2890081_11, MEGAHIT-MetaBAT2-S959.110_contig_6841434_5, MEGAHIT-MetaBAT2-S979.51_contig_4518104_18, MEGAHIT-MetaBAT2-S979.94_contig_4634404_3	rank: C;small subunit ribosomal protein S11 (db=kegg)	K02948
240	P419	932_SemiBin_172_contig_661113_67		rank: D;Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)	NA
241	P421	932_SemiBin_172_contig_661113_80		rank: C;glucose-6-phosphate isomerase [EC:5.3.1.9] (db=kegg)	K01810
242	P422	932_SemiBin_172_contig_661113_90		rank: C;H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit B [EC:7.1.1.11 7.2.1.2] (db=kegg)	K03616
243	P424	932_SemiBin_172_contig_661113_95		rank: C;H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C [EC:7.1.1.11 7.2.1.2] (db=kegg)	K03615
244	P426	932_SemiBin_172_contig_661117_21		rank: E	NA
245	P428	932_SemiBin_172_contig_661117_23		rank: C;large subunit ribosomal protein L15 (db=kegg)	K02876
246	P429	932_SemiBin_172_contig_661117_25		rank: C;small subunit ribosomal protein S5 (db=kegg)	K02988
247	P430	932_SemiBin_172_contig_661117_27		rank: C;large subunit ribosomal protein L6 (db=kegg)	K02933
248	P431	932_SemiBin_172_contig_661117_28		rank: C;small subunit ribosomal protein S8 (db=kegg)	K02994
249	P434	932_SemiBin_172_contig_661117_35		rank: C;large subunit ribosomal protein L16 (db=kegg)	K02878
250	P435	932_SemiBin_172_contig_661117_36		rank: C;small subunit ribosomal protein S3 (db=kegg)	K02982
251	P436	932_SemiBin_172_contig_661117_37		rank: C;large subunit ribosomal protein L22 (db=kegg)	K02890
252	P437	932_SemiBin_172_contig_661117_39		rank: C;large subunit ribosomal protein L2 (db=kegg)	K02886
253	P439	932_SemiBin_172_contig_661117_43	956_SemiBin_187_contig_5944676_5, MEGAHIT-MetaBAT2-S942.31_contig_2233052_40	rank: C;small subunit ribosomal protein S10 (db=kegg)	K02946
254	P440	932_SemiBin_172_contig_661117_9		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)	K01006
255	P441	932_SemiBin_176_contig_1925050_5	991_SemiBin_110_contig_882983_15, MEGAHIT-MetaBAT2-S973.217_contig_973925_9	rank: C;S-adenosylmethionine synthetase [EC:2.5.1.6] (db=kegg)	K00789
256	P442	932_SemiBin_176_contig_1925057_2		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)	K04077
257	P446	932_SemiBin_176_contig_1925116_16	935_SemiBin_113_contig_5971579_36, 962_SemiBin_32_contig_4978741_13, 963_SemiBin_255_contig_1302096_26, 968_SemiBin_131_contig_4414056_8, 976_SemiBin_36_contig_3814056_38, MEGAHIT-MetaBAT2-S942.30_contig_4599870_8, MEGAHIT-MetaBAT2-S945.140_contig_1583238_3, MEGAHIT-MetaBAT2-S953.47_contig_3875506_25, MEGAHIT-MetaBAT2-S968.88_contig_2942184_19, MEGAHIT-MetaBAT2-S970.199_contig_3441962_4, MEGAHIT-MetaBAT2-S973.204_contig_4943405_15, MEGAHIT-MetaBAT2-S973.217_contig_973808_8, MEGAHIT-MetaBAT2-S973.28_contig_1449714_42, MEGAHIT-MetaBAT2-S976.34_contig_4912282_19, MEGAHIT-MetaBAT2-S980.126_contig_5316254_8, MEGAHIT-MetaBAT2-S986.76_contig_2124183_15, group3_bins.185_contig_6264699_15, group3_bins.206_contig_3806424_70, group3_bins.240_contig_2481026_3, group6_bins.237_contig_5427430_18, group6_bins.67_contig_2342620_33, group6_bins.9_contig_3986472_48, group9_bins.282_contig_846168_14, group9_bins.392_contig_5844680_18, group9_bins.96_contig_1775707_28, group9_bins.96_contig_1775728_2	rank: C;small subunit ribosomal protein S14 (db=kegg)	K02954
