"Protein"	"mean_control"	"mean_stress"	"log2Fold_change"	"p_value"	"SCORE_neg_log10_p"	"Protein"	"Indistinguishable.Proteins"	"Description"
"118"	"P14557"	7.61534067092869	6.17242165648847	-1.44291901444022	0.0486180579460433	1.3132023930896	"988_SemiBin_31_contig_1970419_8"	""	"rank: E"
"119"	"P14561"	15.4532167460954	13.0434120092229	-2.40980473687249	0.00936767761647444	2.02836806368669	"988_SemiBin_31_contig_1970433_8"	"MEGAHIT-MetaBAT2-S947.59_contig_90679_3"	"rank: C;elongation factor Tu (db=kegg)"
"120"	"P14570"	7.42065474313445	5.80150597146241	-1.61914877167203	0.014198451094543	1.8477590301087	"988_SemiBin_31_contig_1970462_6"	"MEGAHIT-MetaBAT2-S947.59_contig_90372_3"	"rank: C;large subunit ribosomal protein L4 (db=kegg)"
"121"	"P1463"	6.45313347304762	8.23273263292502	1.7795991598774	0.0243346794584762	1.6137743700012	"935_SemiBin_192_contig_3011980_58"	""	"rank: D;GGGtGRT protein [PF14057.11] (db=pfam)"
"122"	"P1473"	8.97143742027483	11.9967858829905	3.02534846271564	0.0149414465725627	1.82560735378776	"935_SemiBin_192_contig_3011993_18"	""	"rank: C;alanine or glycine:cation symporter, AGCS family (db=kegg)"
"123"	"P1475"	6.6327629729602	9.26274539633039	2.6299824233702	0.0152108649609658	1.81784608922815	"935_SemiBin_192_contig_3011993_53"	""	"rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)"
"124"	"P14776"	6.9043119870344	9.09514896471109	2.19083697767669	0.0367596879570895	1.43462818387704	"991_SemiBin_113_contig_800943_111"	""	"rank: C;peptidyl-dipeptidase Dcp [EC:3.4.15.5] (db=kegg)"
"125"	"P1480"	5.93612519558562	6.99889062824514	1.06276543265952	0.0399605121283382	1.39836895455301	"935_SemiBin_192_contig_3011995_21"	""	"rank: C;MoxR-like ATPase [EC:3.6.3.-] (db=kegg)"
"126"	"P1486"	5.96555858718377	7.95473544362981	1.98917685644604	0.0181190830358787	1.74186378472403	"935_SemiBin_192_contig_3011996_46"	""	"rank: C;large subunit ribosomal protein L7/L12 (db=kegg)"
"127"	"P14862"	7.03067788049044	9.30783494380758	2.27715706331714	0.0357736054285854	1.44643728744869	"991_SemiBin_113_contig_800953_22"	""	"rank: C;SecD/SecF fusion protein (db=kegg)"
"128"	"P1492"	5.69945818381368	7.03585823558871	1.33640005177503	0.0455131814557834	1.34186280544288	"935_SemiBin_192_contig_3011999_31"	""	"rank: E"
"129"	"P1495"	11.7566072788595	13.573442635644	1.81683535678442	0.0478932224468956	1.31972594091057	"935_SemiBin_192_contig_3012002_3"	""	"rank: C;chromosome partitioning protein (db=kegg)"
"130"	"P14954"	7.23697450522599	9.88162813469724	2.64465362947125	0.0107851212070143	1.96717496977871	"991_SemiBin_113_contig_800961_60"	""	"rank: C;peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8] (db=kegg)"
"131"	"P15"	8.10234906619618	6.18160199257685	-1.92074707361933	0.0295009497721048	1.53016400184745	"932_SemiBin_102_contig_2248366_21"	""	"rank: D;Bacterial extracellular solute-binding protein [PF01547.30] (db=pfam)"
"132"	"P15012"	6.00576608895422	7.37270466304169	1.36693857408747	0.0273106387699664	1.563668142005	"991_SemiBin_141_contig_1443034_34"	"MEGAHIT-MetaBAT2-S947.111_contig_76376_11, MEGAHIT-MetaBAT2-S950.5_contig_1514597_28, MEGAHIT-MetaBAT2-S951.173_contig_4789069_4, MEGAHIT-MetaBAT2-S955.226_contig_2978334_48"	"rank: D;Family of unknown function (DUF5932) [PF19355.4];Response regulator receiver domain [PF00072.29] (db=pfam)"
"133"	"P15056"	15.9802194351045	17.2295591091288	1.24933967402426	0.0418959551710042	1.37782790380477	"991_SemiBin_141_contig_1443057_30"	""	"rank: C;triosephosphate isomerase (TIM) [EC:5.3.1.1] (db=kegg)"
"134"	"P1506"	6.39609834217712	8.25819927940053	1.86210093722341	0.0378595905920737	1.42182408674213	"935_SemiBin_192_contig_3012009_58"	""	"rank: C;branched-chain amino acid transport system substrate-binding protein (db=kegg)"
"135"	"P15065"	13.937782352429	15.797607876244	1.859825523815	0.0327588075646166	1.4846719151391	"991_SemiBin_141_contig_1443060_21"	""	"rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)"
"136"	"P15085"	6.01041226079539	7.65117581752677	1.64076355673139	0.0303643554071131	1.51763593390928	"991_SemiBin_141_contig_1443072_16"	""	"rank: C;thymidylate synthase (FAD) [EC:2.1.1.148] (db=kegg)"
"137"	"P1509"	6.43830518477231	8.65731394745704	2.21900876268473	0.0178980239278005	1.74719491564725	"935_SemiBin_192_contig_3012009_63"	""	"rank: C;small subunit ribosomal protein S11 (db=kegg)"
"138"	"P15113"	6.99996667496328	5.86173199244821	-1.13823468251508	0.049119129179596	1.30874934129377	"991_SemiBin_141_contig_1443102_26"	""	"rank: D;Domain of unknown function (DUF5074) [PF16819.10] (db=pfam)"
"139"	"P15115"	15.2049687722032	16.9872983735183	1.78232960131509	0.0297155360038843	1.52701643160366	"991_SemiBin_141_contig_1443102_38"	""	"rank: D;OmpA family [PF00691.25] (db=pfam)"
"140"	"P15155"	14.1697517118488	16.4458828389546	2.27613112710576	0.0328478954710852	1.4834924499877	"991_SemiBin_141_contig_1443131_2"	""	"rank: E"
"141"	"P15156"	15.4241875437498	17.6372209746262	2.21303343087641	0.0185253085174746	1.73223455061875	"991_SemiBin_141_contig_1443131_3"	""	"rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)"
"142"	"P15157"	15.4773618398317	17.3765517267688	1.89918988693707	0.0255897861328231	1.59193334372293	"991_SemiBin_141_contig_1443131_4"	""	"rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)"
"143"	"P15172"	6.30309299786256	8.12680941662781	1.82371641876525	0.0346338024858874	1.46049982413115	"991_SemiBin_141_contig_1443139_4"	""	"rank: C;alpha-D-xyloside xylohydrolase [EC:3.2.1.177] (db=kegg)"
"144"	"P1519"	5.87292243300845	7.47431482625791	1.60139239324946	0.0255193947741062	1.59312962969158	"935_SemiBin_192_contig_3012009_85"	""	"rank: C;large subunit ribosomal protein L3 (db=kegg)"
"145"	"P152"	7.57024011163076	10.187037818264	2.61679770663322	0.0182977454281349	1.73760241892754	"932_SemiBin_124_contig_6655471_14"	""	"rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)"
"146"	"P15215"	9.47611711431897	7.21295409645913	-2.26316301785984	0.0285020925108221	1.54512325463908	"991_SemiBin_141_contig_1443156_30"	""	"rank: C;aspartate--ammonia ligase [EC:6.3.1.1] (db=kegg)"
"147"	"P1522"	5.81864950650278	8.11400578486792	2.29535627836513	0.00928956488685293	2.03200462741262	"935_SemiBin_192_contig_3012009_88"	""	"rank: C;small subunit ribosomal protein S7 (db=kegg)"
"148"	"P15238"	12.8338949610872	15.3041785995859	2.47028363849874	0.0321442730308595	1.4928963917179	"991_SemiBin_141_contig_1443169_10"	""	"rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)"
"149"	"P15239"	14.7784761093991	16.8212131302932	2.04273702089415	0.0221142885893424	1.65532702720519	"991_SemiBin_141_contig_1443169_11"	""	"rank: E"
"150"	"P15263"	11.1152626654805	13.6066623416663	2.49139967618577	0.0497219311418749	1.30345201221114	"991_SemiBin_141_contig_1443188_20"	""	"rank: C;alanyl-tRNA synthetase [EC:6.1.1.7] (db=kegg)"
"151"	"P15293"	9.00273788893758	12.6972824484047	3.69454455946716	0.00569531651216075	2.24448213538379	"991_SemiBin_49_contig_4970553_33"	""	"rank: E"
"152"	"P15298"	8.96638189342711	11.8744038653089	2.90802197188181	0.0326461210055835	1.48616841395857	"991_SemiBin_49_contig_4970563_1"	""	"rank: E"
"153"	"P15308"	8.83913629953694	11.8206180265881	2.98148172705111	0.0202444788490309	1.69369339873767	"991_SemiBin_49_contig_4970570_6"	"992_SemiBin_233_contig_1712856_30, group9_bins.244_contig_1379207_29"	"rank: C;large subunit ribosomal protein L31 (db=kegg)"
"154"	"P15319"	10.2433919224034	13.0949051153419	2.85151319293857	0.0338423971414606	1.47053888238132	"991_SemiBin_49_contig_4970579_4"	""	"rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)"
"155"	"P15328"	13.126701932991	15.7038254216178	2.57712348862685	0.0260633362146801	1.58396999357779	"991_SemiBin_49_contig_4970580_23"	"992_SemiBin_233_contig_1712878_71, MEGAHIT-MetaBAT2-S948.142_contig_869936_48"	"rank: C;large subunit ribosomal protein L14 (db=kegg)"
"156"	"P15349"	5.69257159236464	7.17233820755665	1.47976661519201	0.0408185385681858	1.38914254844735	"991_SemiBin_49_contig_4970603_7"	"992_SemiBin_233_contig_1712872_10"	"rank: C;phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20] (db=kegg)"
"157"	"P15378"	8.06888535153413	10.8392970049768	2.77041165344262	0.018172799787258	1.74057815808075	"991_SemiBin_49_contig_4970652_6"	""	"rank: E"
"158"	"P15403"	9.30266483911092	12.3934605405509	3.09079570144	0.0182174257916878	1.73951299088928	"991_SemiBin_49_contig_4970722_13"	""	"rank: D;Flagellar filament outer layer protein Flaa [PF04620.17] (db=pfam)"
"159"	"P15447"	8.61467554411958	6.58158864009846	-2.03308690402112	0.0238802979400739	1.62196025907856	"992_SemiBin_141_contig_2220270_3"	""	"rank: C;adenosylhomocysteinase [EC:3.13.2.1] (db=kegg)"
"160"	"P15466"	9.42422762929048	12.3344864750272	2.91025884573669	0.0204507255041741	1.68929128047471	"992_SemiBin_233_contig_1712817_5"	""	"rank: C;methyl-accepting chemotaxis protein (db=kegg)"
"161"	"P15502"	13.0434857104015	16.1359184289772	3.09243271857573	0.00118746656381713	2.92537861021186	"992_SemiBin_233_contig_1712828_2"	""	"rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)"
"162"	"P15511"	10.4199238444994	13.0083625633662	2.58843871886682	0.00826516377034177	2.08274853666591	"992_SemiBin_233_contig_1712830_4"	""	"rank: C;phosphoserine phosphatase RsbU/P [EC:3.1.3.3] (db=kegg)"
"163"	"P15515"	8.53855903335895	11.5448186775197	3.00625964416071	0.0170075121375271	1.76935921043006	"992_SemiBin_233_contig_1712831_12"	""	"rank: D;Borrelia membrane protein P13 [PF05628.17] (db=pfam)"
"164"	"P15524"	7.52975041965113	10.7396124476353	3.20986202798414	0.00611577771490296	2.21354830791397	"992_SemiBin_233_contig_1712832_17"	""	"rank: C;ribonucrease Y [EC:3.1.-.-] (db=kegg)"
"165"	"P15541"	7.66851436146688	11.0693251815408	3.40081082007394	0.00359456505866124	2.44435365160958	"992_SemiBin_233_contig_1712839_1"	""	"rank: C;alanine or glycine:cation symporter, AGCS family (db=kegg)"
"166"	"P15554"	6.58270885858609	8.82190736349476	2.23919850490867	0.0309304657302165	1.50961354063244	"992_SemiBin_233_contig_1712844_6"	""	"rank: D;Aminopeptidase I zinc metalloprotease (M18) [PF02127.20];M42 glutamyl aminopeptidase [PF05343.19] (db=pfam)"
"167"	"P15583"	6.98316758099345	9.41036759208833	2.42720001109488	0.030871148839136	1.51044720837947	"992_SemiBin_233_contig_1712856_5"	""	"rank: C;phosphoserine phosphatase RsbU/P [EC:3.1.3.3] (db=kegg)"
"168"	"P15587"	5.63300363489745	7.97653200512757	2.34352837023012	0.00162203548651115	2.78993964862832	"992_SemiBin_233_contig_1712859_42"	""	"rank: C;maltose transport system substrate-binding protein (db=kegg)"
"169"	"P15590"	7.77599829325364	11.0094426289554	3.23344433570176	0.0124634930239623	1.90436022505771	"992_SemiBin_233_contig_1712861_47"	""	"rank: D;Flagellar filament outer layer protein Flaa [PF04620.17] (db=pfam)"
"170"	"P15591"	7.27956097834668	9.93960713047974	2.66004615213307	0.0270207249003109	1.56830300409334	"992_SemiBin_233_contig_1712861_48"	""	"rank: D;Flagellar filament outer layer protein Flaa [PF04620.17] (db=pfam)"
"171"	"P15592"	11.9063268251417	14.3035282202734	2.39720139513166	0.0482773270604585	1.31625678321074	"992_SemiBin_233_contig_1712861_49"	""	"rank: C;fructose-bisphosphate aldolase, class II [EC:4.1.2.13] (db=kegg)"
"172"	"P15626"	7.5634835399737	10.5938657684189	3.03038222844518	0.0165316185165912	1.78168462504838	"992_SemiBin_233_contig_1712870_4"	""	"rank: C;methyl-accepting chemotaxis protein (db=kegg)"
"173"	"P15627"	12.3773152032449	15.2424377490392	2.86512254579428	0.00987691045947795	2.00537888337131	"992_SemiBin_233_contig_1712870_8"	""	"rank: C;formate C-acetyltransferase [EC:2.3.1.54] (db=kegg)"
"174"	"P15628"	9.6863056834101	13.127833773438	3.44152809002795	0.011221954665886	1.94993149007877	"992_SemiBin_233_contig_1712870_9"	""	"rank: E"
"175"	"P15634"	8.45934840652753	12.9215291004003	4.46218069387277	0.000639428653851322	3.19420790617711	"992_SemiBin_233_contig_1712874_9"	""	"rank: C;LemA protein (db=kegg)"
"176"	"P15646"	6.05553310851115	8.0616064074975	2.00607329898635	0.0123151522164489	1.90956021587073	"992_SemiBin_233_contig_1712876_5"	""	"rank: D;Bacterial extracellular solute-binding protein [PF01547.30];Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)"
"177"	"P15650"	9.64426558245209	12.8215858328732	3.17732025042115	0.0150358586790163	1.82287176484249	"992_SemiBin_233_contig_1712877_11"	"MEGAHIT-MetaBAT2-S948.142_contig_869899_11"	"rank: C;heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6] (db=kegg)"
"178"	"P15660"	12.074945766336	14.4072093150024	2.33226354866641	0.0362294487758217	1.44093827362321	"992_SemiBin_233_contig_1712877_16"	""	"rank: D;4Fe-4S dicluster domain [PF13187.11];4Fe-4S dicluster domain [PF12838.12];4Fe-4S dicluster domain [PF13534.11];4Fe-4S dicluster domain [PF13237.11];4Fe-4S dicluster domain [PF13183.11];4Fe-4S dicluster domain [PF14697.11];2Fe-2S iron-sulfur cluster binding domain [PF13510.11] (db=pfam)"
"179"	"P15661"	9.56651763143205	12.8991974081937	3.33267977676162	0.0125164479598522	1.90251890198074	"992_SemiBin_233_contig_1712877_17"	""	"rank: D;FAD binding domain [PF00890.29];HI0933-like protein Rossmann domain [PF03486.19];FAD dependent oxidoreductase [PF01266.29];FAD dependent oxidoreductase [PF12831.12];Glucose inhibited division protein A [PF01134.27] (db=pfam)"
"180"	"P15668"	7.86477072875832	10.5755979639508	2.71082723519251	0.0145986538466634	1.83568718900457	"992_SemiBin_233_contig_1712877_35"	""	"rank: C;starch synthase [EC:2.4.1.21] (db=kegg)"
"181"	"P15674"	5.84420800980581	7.64758478263812	1.80337677283231	0.0363276194861827	1.43976306010281	"992_SemiBin_233_contig_1712877_48"	""	"rank: C;V/A-type H+/Na+-transporting ATPase subunit D (db=kegg)"
"182"	"P15678"	7.46444557601018	10.0398512894501	2.57540571343993	0.0336696819729413	1.47276098572207	"992_SemiBin_233_contig_1712877_52"	""	"rank: C;V/A-type H+/Na+-transporting ATPase subunit E (db=kegg)"
"183"	"P15679"	6.3667751053583	7.94332851052898	1.57655340517068	0.0492022249680935	1.30801525760831	"992_SemiBin_233_contig_1712877_53"	""	"rank: C;aldose 1-epimerase [EC:5.1.3.3] (db=kegg)"
"184"	"P15683"	6.65903728718222	10.0177028371861	3.35866555000386	0.00301229059303004	2.52110313444282	"992_SemiBin_233_contig_1712877_71"	""	"rank: C;chemotaxis protein MotA (db=kegg)"
"185"	"P15697"	8.60253527388228	11.5901978900796	2.98766261619736	0.0171141003742039	1.76664592520199	"992_SemiBin_233_contig_1712878_24"	""	"rank: C;putative aldouronate transport system substrate-binding protein (db=kegg)"
"186"	"P15712"	10.2258534405367	12.7367659394835	2.51091249894674	0.0458818126468235	1.33835943281605	"992_SemiBin_233_contig_1712878_62"	""	"rank: C;large subunit ribosomal protein L4 (db=kegg)"
"187"	"P15717"	6.50616970517008	8.35320785460731	1.84703814943723	0.0381545725914592	1.41845340706066	"992_SemiBin_233_contig_1712878_68"	""	"rank: C;large subunit ribosomal protein L16 (db=kegg)"
"188"	"P15727"	7.07490312733671	9.55943202627442	2.48452889893771	0.0210035527490429	1.6777072381802	"992_SemiBin_233_contig_1712878_80"	""	"rank: C;large subunit ribosomal protein L15 (db=kegg)"
"189"	"P15730"	8.27484727441584	10.8834629304158	2.60861565599994	0.0403116474281603	1.3945694530417	"992_SemiBin_233_contig_1712878_84"	""	"rank: C;small subunit ribosomal protein S4 (db=kegg)"
"190"	"P15745"	8.03315083411754	10.7357379952378	2.70258716112024	0.0321526845737195	1.49278276000637	"992_SemiBin_233_contig_1712880_19"	"MEGAHIT-MetaBAT2-S948.142_contig_869944_9"	"rank: C;V/A-type H+/Na+-transporting ATPase subunit K (db=kegg)"
"191"	"P15748"	18.7274289284983	19.7482019950604	1.02077306656206	0.0339384054747575	1.46930856596005	"992_SemiBin_233_contig_1712880_3"	""	"rank: E"
"192"	"P15752"	6.65711355300996	9.73881783320511	3.08170428019515	0.0044704095101911	2.34965269166221	"992_SemiBin_233_contig_1712880_42"	""	"rank: C;ATP-binding cassette, subfamily B, multidrug efflux pump (db=kegg)"
"193"	"P15754"	9.86091949960475	12.8207165844222	2.95979708481745	0.0200596360582895	1.69767695064314	"992_SemiBin_233_contig_1712880_45"	""	"rank: C;modulator of FtsH protease HflC (db=kegg)"
"194"	"P15762"	6.38915834247095	8.58842325302441	2.19926491055346	0.0258424811010099	1.58766579266031	"992_SemiBin_233_contig_1712880_9"	""	"rank: C;phosphoribosylformylglycinamidine synthase [EC:6.3.5.3] (db=kegg)"
"195"	"P15771"	9.82462872893155	12.8083177035498	2.98368897461823	0.0240848732230875	1.61825563536401	"992_SemiBin_233_contig_1712883_37"	""	"rank: C;preprotein translocase subunit YajC (db=kegg)"
"196"	"P15773"	7.98511546063487	10.5300476480387	2.54493218740381	0.0359208669404245	1.44465319029819	"992_SemiBin_233_contig_1712883_39"	""	"rank: D;Protein export membrane protein [PF02355.21] (db=pfam)"
"197"	"P1578"	6.01651472705542	7.67058086347434	1.65406613641893	0.035871672368582	1.44524837566537	"935_SemiBin_236_contig_538418_16"	""	"rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)"
"198"	"P15780"	6.19648919582839	7.69650374948955	1.50001455366116	0.0449251464852918	1.34751049813329	"992_SemiBin_233_contig_1712883_8"	""	"rank: E"
"199"	"P15800"	7.10912331648773	9.77047041333266	2.66134709684493	0.022247531674763	1.65271816623338	"992_SemiBin_233_contig_1712887_79"	""	"rank: D;Binding-protein-dependent transport system inner membrane component [PF00528.27] (db=pfam)"
"200"	"P15832"	8.68300646529422	12.1984348960314	3.51542843073715	0.00987593664355645	2.00542170483185	"992_SemiBin_233_contig_1712897_7"	""	"rank: E"
"201"	"P15839"	11.0979557793682	13.6948354818111	2.59687970244296	0.0359052354409382	1.44484222113386	"992_SemiBin_233_contig_1712899_18"	""	"rank: C;uncharacterized protein (db=kegg)"
"202"	"P1584"	6.96601124214435	9.52522428171887	2.55921303957452	0.0199883157207222	1.69922379937931	"935_SemiBin_236_contig_538420_25"	""	"rank: E"
"203"	"P15848"	6.7976814825947	10.2289837875414	3.43130230494675	0.00113715923999991	2.94417871542582	"992_SemiBin_233_contig_1712901_7"	""	"rank: E"
"204"	"P15850"	7.51127414632342	10.9190330580856	3.40775891176222	0.00385944682010398	2.41347493890148	"992_SemiBin_233_contig_1712902_13"	""	"rank: D;Aconitase family (aconitate hydratase) [PF00330.25];Aconitase C-terminal domain [PF00694.24] (db=pfam)"
"205"	"P15851"	7.43237197024787	10.7664258128935	3.33405384264568	0.00442494278457586	2.3540923404472	"992_SemiBin_233_contig_1712902_19"	""	"rank: C;polyribonucleotide nucleotidyltransferase [EC:2.7.7.8] (db=kegg)"
"206"	"P15856"	7.59540755568595	9.78322465678049	2.18781710109454	0.0385119861378801	1.41440408339028	"992_SemiBin_233_contig_1712902_6"	""	"rank: C;argininosuccinate synthase [EC:6.3.4.5] (db=kegg)"
"207"	"P15857"	9.02572508760007	11.6529105106977	2.62718542309758	0.0421014602121158	1.37570284119362	"992_SemiBin_233_contig_1712903_10"	""	"rank: C;xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22] (db=kegg)"
"208"	"P15868"	7.75742982036121	10.492373022576	2.73494320221484	0.0249166064780216	1.60351110680525	"992_SemiBin_233_contig_1712904_37"	""	"rank: D;Bacterial extracellular solute-binding protein [PF01547.30];Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)"
"209"	"P15871"	6.80719113543697	9.79075462700762	2.98356349157065	0.0116136824716633	1.93503005213511	"992_SemiBin_233_contig_1712904_40"	""	"rank: D;Anaphase-promoting complex, cyclosome, subunit 3 [PF12895.12];Tetratricopeptide repeat [PF13432.11] (db=pfam)"
"210"	"P15872"	7.20124508637548	10.3211041183417	3.11985903196625	0.00402512751571248	2.39522035666429	"992_SemiBin_233_contig_1712904_41"	""	"rank: E"
