Protein	Indistinguishable.Proteins	Description
132	932_SemiBin_106_contig_906244_39		rank: C;ribose transport system substrate-binding protein (db=kegg)
133	932_SemiBin_106_contig_906244_40		rank: C;ribose transport system ATP-binding protein [EC:7.5.2.7] (db=kegg)
134	932_SemiBin_106_contig_906244_41		rank: D;Branched-chain amino acid transport system / permease component [PF02653.21] (db=pfam)
135	932_SemiBin_106_contig_906244_5	956_SemiBin_125_contig_955089_18, 956_SemiBin_137_contig_428337_9, 966_SemiBin_49_contig_5227383_3, 974_SemiBin_118_contig_849951_1, 987_SemiBin_26_contig_1253898_32, 991_SemiBin_110_contig_883125_8, MEGAHIT-MetaBAT2-S973.44_contig_1218901_9, MEGAHIT-MetaBAT2-S988.167_contig_4499237_25, group6_bins.56_contig_4161433_5, group7_bins.133_contig_331864_62, group9_bins.268_contig_3174380_11	rank: D;Domain of unknown function DUF1846, N-terminal [PF08903.16];Domain of unknown function DUF1846, C-terminal [PF20921.2] (db=pfam)
136	932_SemiBin_106_contig_906250_20	MEGAHIT-MetaBAT2-S938.190_contig_1791388_20, MEGAHIT-MetaBAT2-S961.20_contig_4773533_9	rank: C;5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase [EC:2.1.1.258] (db=kegg)
137	932_SemiBin_106_contig_906250_5	MEGAHIT-MetaBAT2-S951.45_contig_1551529_7	rank: C;basic membrane protein A and related proteins (db=kegg)
138	932_SemiBin_106_contig_906252_6	MEGAHIT-MetaBAT2-S934.132_contig_5200298_14	rank: C;cellobiose transport system substrate-binding protein (db=kegg)
139	932_SemiBin_124_contig_6655454_1	965_SemiBin_146_contig_1265126_3, 991_SemiBin_141_contig_1443135_2, MEGAHIT-MetaBAT2-S950.5_contig_1514659_35, MEGAHIT-MetaBAT2-S955.226_contig_2978250_2, MEGAHIT-MetaBAT2-S959.123_contig_5422923_11, MEGAHIT-MetaBAT2-S968.241_contig_1689198_8, group4_bins.25_contig_1062564_36	rank: C;ATP-binding cassette, subfamily F, member 3 (db=kegg)
140	932_SemiBin_124_contig_6655458_11		rank: E
141	932_SemiBin_124_contig_6655460_3		rank: C;succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1] (db=kegg)
142	932_SemiBin_124_contig_6655460_6		rank: D;Anaphase-promoting complex, cyclosome, subunit 3 [PF12895.12];Tetratricopeptide repeat [PF13429.11] (db=pfam)
143	932_SemiBin_124_contig_6655461_6		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)
144	932_SemiBin_124_contig_6655462_15		rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)
145	932_SemiBin_124_contig_6655462_26		rank: D;Family of unknown function (DUF5689) [PF18942.5];Domain of unknown function (DUF6359) [PF19886.4] (db=pfam)
146	932_SemiBin_124_contig_6655468_11	MEGAHIT-MetaBAT2-S969.89_contig_3779543_2	rank: C;large subunit ribosomal protein L9 (db=kegg)
147	932_SemiBin_124_contig_6655468_12	946_SemiBin_296_contig_4307621_5, 954_SemiBin_346_contig_4995182_17, MEGAHIT-MetaBAT2-S932.114_contig_6341906_100, MEGAHIT-MetaBAT2-S967.46_contig_3552812_6, MEGAHIT-MetaBAT2-S969.89_contig_3779543_1, MEGAHIT-MetaBAT2-S976.157_contig_1829007_10, MEGAHIT-MetaBAT2-S981.125_contig_5192620_8, MEGAHIT-MetaBAT2-S988.179_contig_98968_23, MEGAHIT-MetaBAT2-S988.9_contig_3041322_43, group4_bins.47_contig_5578276_7	rank: C;small subunit ribosomal protein S18 (db=kegg)
148	932_SemiBin_124_contig_6655468_24		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)
149	932_SemiBin_124_contig_6655468_25		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)
150	932_SemiBin_124_contig_6655468_33		rank: C;branched-chain amino acid aminotransferase [EC:2.6.1.42] (db=kegg)
151	932_SemiBin_124_contig_6655471_13		rank: D;Starch-binding associating with outer membrane [PF12771.12];Susd and RagB outer membrane lipoprotein [PF12741.12] (db=pfam)
152	932_SemiBin_124_contig_6655471_14		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)
153	932_SemiBin_124_contig_6655471_7		rank: E
154	932_SemiBin_124_contig_6655472_5		rank: D;CarboxypepD_reg-like domain [PF13715.11];Carboxypeptidase regulatory-like domain [PF13620.11] (db=pfam)
155	932_SemiBin_124_contig_6655474_13		rank: E
156	932_SemiBin_124_contig_6655474_14		rank: D;GGGtGRT protein [PF14057.11] (db=pfam)
157	932_SemiBin_124_contig_6655475_8		rank: E
158	932_SemiBin_124_contig_6655477_3		rank: E
159	932_SemiBin_124_contig_6655477_4		rank: C;iron complex outermembrane recepter protein (db=kegg)
160	932_SemiBin_124_contig_6655478_17		rank: D;M26 IgA1-specific Metallo-endopeptidase N-terminal region [PF05342.19];Bacterial Ig-like domain [PF22359.1] (db=pfam)
161	932_SemiBin_124_contig_6655480_1		rank: E
162	932_SemiBin_124_contig_6655483_12		rank: C;lincosamide nucleotidyltransferase A/C/D/E (db=kegg)
163	932_SemiBin_124_contig_6655485_2		rank: E
164	932_SemiBin_124_contig_6655487_49	935_SemiBin_236_contig_538417_41, 976_SemiBin_228_contig_1679495_14, 978_SemiBin_64_contig_4662538_4, 983_SemiBin_276_contig_3957058_17, 991_SemiBin_113_contig_800935_45, 993_SemiBin_0_contig_4100144_2, MEGAHIT-MetaBAT2-S932.72_contig_1470480_10, MEGAHIT-MetaBAT2-S944.84_contig_2211416_2, MEGAHIT-MetaBAT2-S955.109_contig_2164643_26, MEGAHIT-MetaBAT2-S964.152_contig_6810498_5, MEGAHIT-MetaBAT2-S968.13_contig_6351447_3, MEGAHIT-MetaBAT2-S970.191_contig_2451127_5, MEGAHIT-MetaBAT2-S978.150_contig_345408_26, MEGAHIT-MetaBAT2-S978.92_contig_4052328_2, MEGAHIT-MetaBAT2-S979.94_contig_4634334_2, MEGAHIT-MetaBAT2-S982.27_contig_1053660_21, MEGAHIT-MetaBAT2-S993.160_contig_3109702_14, group10_bins.111_contig_706582_12, group10_bins.7_contig_56991_1, group3_bins.358_contig_4097512_33, group6_bins.205_contig_1135945_53, group9_bins.282_contig_846231_8	rank: C;threonine aldolase [EC:4.1.2.48] (db=kegg)
165	932_SemiBin_124_contig_6655487_64		rank: C;Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21] (db=kegg)
166	932_SemiBin_124_contig_6655487_7		rank: C;GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2] (db=kegg)
167	932_SemiBin_124_contig_6655490_40		rank: C;dTDP-glucose 4,6-dehydratase [EC:4.2.1.46] (db=kegg)
168	932_SemiBin_124_contig_6655492_7		rank: C;biopolymer transport protein ExbB (db=kegg)
169	932_SemiBin_124_contig_6655493_23	932_SemiBin_172_contig_661077_47, 941_SemiBin_67_contig_4026731_9, 947_SemiBin_204_contig_1162489_2, 953_SemiBin_322_contig_357591_66, 955_SemiBin_256_contig_4164752_35, 966_SemiBin_95_contig_3845527_45, 972_SemiBin_103_contig_3787417_6, MEGAHIT-MetaBAT2-S935.62_contig_6035088_9, MEGAHIT-MetaBAT2-S941.34_contig_3688502_2, MEGAHIT-MetaBAT2-S942.110_contig_6619071_2, MEGAHIT-MetaBAT2-S942.31_contig_2233073_71, MEGAHIT-MetaBAT2-S945.135_contig_4381796_10, MEGAHIT-MetaBAT2-S945.93_contig_4661437_3, MEGAHIT-MetaBAT2-S947.28_contig_2112793_28, MEGAHIT-MetaBAT2-S947.8_contig_60672_6, MEGAHIT-MetaBAT2-S955.226_contig_2978340_9, MEGAHIT-MetaBAT2-S964.185_contig_75095_53, MEGAHIT-MetaBAT2-S964.235_contig_162388_19, MEGAHIT-MetaBAT2-S964.264_contig_996939_8, MEGAHIT-MetaBAT2-S969.89_contig_3779748_4, MEGAHIT-MetaBAT2-S970.122_contig_4011796_10, MEGAHIT-MetaBAT2-S972.76_contig_79557_11, MEGAHIT-MetaBAT2-S973.219_contig_4980366_23, MEGAHIT-MetaBAT2-S975.14_contig_3657821_12, MEGAHIT-MetaBAT2-S976.157_contig_1829259_3, MEGAHIT-MetaBAT2-S981.154_contig_1630376_8, MEGAHIT-MetaBAT2-S990.160_contig_1970222_6, group3_bins.134_contig_161096_34, group8_bins.259_contig_4892486_3	rank: C;7-cyano-7-deazaguanine reductase [EC:1.7.1.13] (db=kegg)
170	932_SemiBin_124_contig_6655493_3		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)
171	932_SemiBin_124_contig_6655496_12		rank: E
172	932_SemiBin_124_contig_6655499_17		rank: C;small subunit ribosomal protein S2 (db=kegg)
173	932_SemiBin_124_contig_6655503_11		rank: C;F-type H+-transporting ATPase subunit c (db=kegg)
174	932_SemiBin_124_contig_6655506_31		rank: C;rubrerythrin (db=kegg)
175	932_SemiBin_124_contig_6655506_6		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)
176	932_SemiBin_124_contig_6655506_7		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)
177	932_SemiBin_124_contig_6655507_5		rank: D;Chitobiase/beta-hexosaminidase C-terminal domain [PF13290.11] (db=pfam)
178	932_SemiBin_124_contig_6655515_13		rank: C;2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12] (db=kegg)
179	932_SemiBin_124_contig_6655515_14		rank: D;Predicted AAA-ATPase [PF09820.14];PD-(D/E)XK nuclease superfamily [PF08011.16] (db=pfam)
180	932_SemiBin_124_contig_6655515_39		rank: C;large subunit ribosomal protein L5 (db=kegg)
181	932_SemiBin_124_contig_6655515_51	MEGAHIT-MetaBAT2-S969.89_contig_3779508_5	rank: C;small subunit ribosomal protein S13 (db=kegg)
182	932_SemiBin_124_contig_6655517_22	MEGAHIT-MetaBAT2-S969.89_contig_3779417_4, MEGAHIT-MetaBAT2-S987.67_contig_6241504_8	rank: D;Conserved carboxylase domain [PF02436.23];HMGL-like [PF00682.24];Biotin-requiring enzyme [PF00364.27] (db=pfam)
183	932_SemiBin_124_contig_6655521_4		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)
184	932_SemiBin_124_contig_6655521_5		rank: D;Starch-binding associating with outer membrane [PF12771.12];Susd and RagB outer membrane lipoprotein [PF12741.12] (db=pfam)
185	932_SemiBin_124_contig_6655522_15		rank: C;phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49] (db=kegg)
186	932_SemiBin_124_contig_6655525_1		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)
187	932_SemiBin_124_contig_6655525_11		rank: C;phosphoglycerate kinase [EC:2.7.2.3] (db=kegg)
188	932_SemiBin_124_contig_6655525_18		rank: D;OmpA family [PF00691.25] (db=pfam)
189	932_SemiBin_124_contig_6655525_50		rank: D;Secretion system C-terminal sorting domain [PF18962.5];Carboxypeptidase regulatory-like domain [PF13620.11];SdrD B-like domain [PF17210.8] (db=pfam)
190	932_SemiBin_124_contig_6655525_51		rank: C;2-isopropylmalate synthase [EC:2.3.3.13] (db=kegg)
191	932_SemiBin_124_contig_6655525_56		rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)
192	932_SemiBin_124_contig_6655529_15		rank: C;phosphate-selective porin OprO and OprP (db=kegg)
193	932_SemiBin_124_contig_6655529_16		rank: D;Glycerophosphoryl diester phosphodiesterase family [PF03009.22] (db=pfam)
194	932_SemiBin_124_contig_6655529_22		rank: C;phosphate-selective porin OprO and OprP (db=kegg)
195	932_SemiBin_124_contig_6655529_23		rank: C;glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46] (db=kegg)
196	932_SemiBin_124_contig_6655536_15		rank: C;MFS transporter, FHS family, L-fucose permease (db=kegg)
197	932_SemiBin_124_contig_6655537_31		rank: C;large subunit ribosomal protein L25 (db=kegg)
198	932_SemiBin_124_contig_6655537_8		rank: C;glucokinase [EC:2.7.1.2] (db=kegg)
199	932_SemiBin_124_contig_6655537_9	MEGAHIT-MetaBAT2-S967.46_contig_3553037_3, MEGAHIT-MetaBAT2-S969.89_contig_3779771_4	rank: C;electron transfer flavoprotein beta subunit (db=kegg)
200	932_SemiBin_124_contig_6655539_6		rank: C;2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11] (db=kegg)
201	932_SemiBin_124_contig_6655540_2		rank: D;Family of unknown function (DUF6562) [PF20200.3] (db=pfam)
202	932_SemiBin_124_contig_6655543_1	946_SemiBin_296_contig_4307499_4, MEGAHIT-MetaBAT2-S932.114_contig_6341947_6, MEGAHIT-MetaBAT2-S967.46_contig_3552834_1, MEGAHIT-MetaBAT2-S981.125_contig_5192623_31	rank: C;orotate phosphoribosyltransferase [EC:2.4.2.10] (db=kegg)
203	932_SemiBin_124_contig_6655544_5		rank: C;UDP-N-acetylglucosamine 4,6-dehydratase/5-epimerase [EC:4.2.1.115 5.1.3.-] (db=kegg)
204	932_SemiBin_124_contig_6655545_14		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)
205	932_SemiBin_124_contig_6655545_18		rank: E
206	932_SemiBin_124_contig_6655545_7		rank: D;Response regulator receiver domain [PF00072.29];Transcriptional regulatory protein, C terminal [PF00486.33] (db=pfam)
207	932_SemiBin_124_contig_6655546_2		rank: C;LemA protein (db=kegg)
208	932_SemiBin_124_contig_6655547_7		rank: C;large subunit ribosomal protein L7/L12 (db=kegg)
209	932_SemiBin_124_contig_6655549_2		rank: C;dolichol-phosphate mannosyltransferase [EC:2.4.1.83] (db=kegg)
210	932_SemiBin_153_contig_6137015_10		rank: C;phosphocarrier protein HPr (db=kegg)
211	932_SemiBin_153_contig_6137015_15		rank: C;phosphoglucomutase [EC:5.4.2.2] (db=kegg)
212	932_SemiBin_153_contig_6137016_11		rank: C;ribosome hibernation promoting factor (db=kegg)
213	932_SemiBin_153_contig_6137021_2		rank: D;Iron-containing alcohol dehydrogenase [PF00465.24];Iron-containing alcohol dehydrogenase [PF13685.11] (db=pfam)
214	932_SemiBin_153_contig_6137021_6		rank: C;D-methionine transport system substrate-binding protein (db=kegg)
215	932_SemiBin_153_contig_6137025_10		rank: C;putative tryptophan/tyrosine transport system substrate-binding protein (db=kegg)
216	932_SemiBin_153_contig_6137030_13		rank: C;6-phospho-beta-glucosidase [EC:3.2.1.86] (db=kegg)
217	932_SemiBin_153_contig_6137030_8		rank: C;cellobiose PTS system EIIC component (db=kegg)
218	932_SemiBin_153_contig_6137034_5		rank: C;glucose-6-phosphate isomerase [EC:5.3.1.9] (db=kegg)
219	932_SemiBin_153_contig_6137037_14		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)
220	932_SemiBin_153_contig_6137043_10		rank: C;6-phospho-beta-glucosidase [EC:3.2.1.86] (db=kegg)
221	932_SemiBin_153_contig_6137043_3		rank: C;threonine synthase [EC:4.2.3.1] (db=kegg)
222	932_SemiBin_153_contig_6137044_15		rank: C;oligopeptide transport system substrate-binding protein (db=kegg)
223	932_SemiBin_153_contig_6137044_2	975_SemiBin_73_contig_4529636_4, MEGAHIT-MetaBAT2-S937.160_contig_3039898_152, MEGAHIT-MetaBAT2-S942.153_contig_5812792_4, MEGAHIT-MetaBAT2-S945.168_contig_3689894_3, MEGAHIT-MetaBAT2-S964.207_contig_4230171_18, MEGAHIT-MetaBAT2-S965.5_contig_5939831_2, MEGAHIT-MetaBAT2-S973.44_contig_1218957_3, MEGAHIT-MetaBAT2-S978.143_contig_6688769_9, MEGAHIT-MetaBAT2-S980.86_contig_3882005_4, group10_bins.379_contig_974199_6, group9_bins.67_contig_2480402_11	rank: C;V/A-type H+/Na+-transporting ATPase subunit B (db=kegg)
224	932_SemiBin_153_contig_6137048_3		rank: D;PEP-utilising enzyme, PEP-binding domain [PF02896.23] (db=pfam)
225	932_SemiBin_153_contig_6137050_12		rank: D;Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain [PF02800.25];Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain [PF00044.29] (db=pfam)
226	932_SemiBin_153_contig_6137054_14		rank: C;large subunit ribosomal protein L5 (db=kegg)
227	932_SemiBin_153_contig_6137054_17		rank: C;large subunit ribosomal protein L6 (db=kegg)
228	932_SemiBin_153_contig_6137054_19		rank: C;small subunit ribosomal protein S5 (db=kegg)
229	932_SemiBin_153_contig_6137054_2		rank: C;large subunit ribosomal protein L3 (db=kegg)
230	932_SemiBin_153_contig_6137054_26		rank: C;small subunit ribosomal protein S13 (db=kegg)
231	932_SemiBin_153_contig_6137054_28		rank: C;DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6] (db=kegg)
232	932_SemiBin_153_contig_6137054_3		rank: C;large subunit ribosomal protein L4 (db=kegg)
233	932_SemiBin_153_contig_6137054_39		rank: C;large subunit ribosomal protein L13 (db=kegg)
234	932_SemiBin_153_contig_6137054_5		rank: C;large subunit ribosomal protein L2 (db=kegg)
235	932_SemiBin_153_contig_6137054_7		rank: C;large subunit ribosomal protein L22 (db=kegg)
236	932_SemiBin_153_contig_6137054_8		rank: C;small subunit ribosomal protein S3 (db=kegg)
237	932_SemiBin_153_contig_6137055_52		rank: C;small subunit ribosomal protein S2 (db=kegg)
238	932_SemiBin_153_contig_6137056_8		rank: C;superoxide reductase [EC:1.15.1.2] (db=kegg)
239	932_SemiBin_153_contig_6137058_18		rank: C;uncharacterized protein (db=kegg)
240	932_SemiBin_153_contig_6137058_27		rank: C;secondary-alkyl amine dehydrogenase [NAD(P)+] [EC:1.4.1.28] (db=kegg)
241	932_SemiBin_153_contig_6137058_32		rank: C;glutamate synthase (NADPH) small chain [EC:1.4.1.13] (db=kegg)
242	932_SemiBin_153_contig_6137058_5		rank: C;maltose PTS system EIICB or EIICBA component [EC:2.7.1.208] (db=kegg)
243	932_SemiBin_153_contig_6137064_2		rank: C;starch synthase [EC:2.4.1.21] (db=kegg)
244	932_SemiBin_153_contig_6137066_11		rank: C;basic membrane protein A and related proteins (db=kegg)
245	932_SemiBin_153_contig_6137066_34		rank: C;cellobiose PTS system EIIB component [EC:2.7.1.196 2.7.1.205] (db=kegg)
246	932_SemiBin_153_contig_6137067_2	937_SemiBin_159_contig_5264306_10, 956_SemiBin_215_contig_4668630_13, 972_SemiBin_103_contig_3787506_10, 983_SemiBin_140_contig_943783_33, 986_SemiBin_166_contig_1142830_7, MEGAHIT-MetaBAT2-S932.53_contig_2808074_41, MEGAHIT-MetaBAT2-S932.72_contig_1470515_2, MEGAHIT-MetaBAT2-S964.185_contig_75067_8, MEGAHIT-MetaBAT2-S970.51_contig_6451603_16, group3_bins.358_contig_4097499_14	rank: C;glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94] (db=kegg)
247	932_SemiBin_153_contig_6137069_20		rank: C;fructose-bisphosphate aldolase, class II [EC:4.1.2.13] (db=kegg)
248	932_SemiBin_153_contig_6137071_4		rank: C;ribose-phosphate pyrophosphokinase [EC:2.7.6.1] (db=kegg)
249	932_SemiBin_153_contig_6137073_3		rank: E
250	932_SemiBin_153_contig_6137073_4		rank: D;GGGtGRT protein [PF14057.11] (db=pfam)
251	932_SemiBin_153_contig_6137076_49		rank: C;formate C-acetyltransferase [EC:2.3.1.54] (db=kegg)
252	932_SemiBin_153_contig_6137078_2		rank: C;dipeptidase [EC:3.4.-.-] (db=kegg)
253	932_SemiBin_153_contig_6137080_3		rank: C;large subunit ribosomal protein L1 (db=kegg)
254	932_SemiBin_153_contig_6137080_5		rank: C;large subunit ribosomal protein L7/L12 (db=kegg)
255	932_SemiBin_153_contig_6137080_7		rank: C;DNA-directed RNA polymerase subunit beta [EC:2.7.7.6] (db=kegg)
256	932_SemiBin_153_contig_6137080_8		rank: C;DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6] (db=kegg)
257	932_SemiBin_153_contig_6137082_41	983_SemiBin_265_contig_1939201_5	rank: C;large subunit ribosomal protein L20 (db=kegg)
258	932_SemiBin_153_contig_6137082_8		rank: C;IMP dehydrogenase [EC:1.1.1.205] (db=kegg)
259	932_SemiBin_153_contig_6137085_16		rank: C;small subunit ribosomal protein S4 (db=kegg)
260	932_SemiBin_153_contig_6137086_2		rank: C;lactaldehyde reductase [EC:1.1.1.77] (db=kegg)
261	932_SemiBin_153_contig_6137088_17		rank: C;molecular chaperone DnaK (db=kegg)
262	932_SemiBin_153_contig_6137091_13		rank: C;6-phosphofructokinase 1 [EC:2.7.1.11] (db=kegg)
263	932_SemiBin_153_contig_6137093_1		rank: C;cellobiose PTS system EIIA component [EC:2.7.1.196 2.7.1.205] (db=kegg)
264	932_SemiBin_153_contig_6137093_4		rank: C;elongation factor Tu (db=kegg)
265	932_SemiBin_153_contig_6137093_5		rank: C;elongation factor G (db=kegg)
266	932_SemiBin_153_contig_6137093_6		rank: C;small subunit ribosomal protein S7 (db=kegg)
267	932_SemiBin_153_contig_6137098_6		rank: C;pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] (db=kegg)
268	932_SemiBin_153_contig_6137102_3		rank: C;mannose PTS system EIIAB component [EC:2.7.1.191] (db=kegg)
269	932_SemiBin_153_contig_6137102_5		rank: C;mannose PTS system EIID component (db=kegg)
270	932_SemiBin_153_contig_6137103_16		rank: C;branched-chain amino acid transport system ATP-binding protein (db=kegg)
271	932_SemiBin_153_contig_6137103_19		rank: C;branched-chain amino acid transport system substrate-binding protein (db=kegg)
272	932_SemiBin_153_contig_6137106_2		rank: C;ketol-acid reductoisomerase [EC:1.1.1.86] (db=kegg)
273	932_SemiBin_153_contig_6137106_20		rank: C;2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12] (db=kegg)
274	932_SemiBin_153_contig_6137110_14		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)
275	932_SemiBin_153_contig_6137110_22		rank: C;oligopeptide transport system substrate-binding protein (db=kegg)
276	932_SemiBin_153_contig_6137110_25		rank: C;oligopeptide transport system ATP-binding protein (db=kegg)
277	932_SemiBin_153_contig_6137110_26		rank: C;peptide/nickel transport system ATP-binding protein (db=kegg)
278	932_SemiBin_153_contig_6137110_4		rank: D;Rubrerythrin [PF02915.22];Rubrerythrin, rubredoxin-like domain [PF21349.2] (db=pfam)
279	932_SemiBin_153_contig_6137112_6		rank: C;fructoselysine/glucoselysine PTS system EIIC component (db=kegg)
280	932_SemiBin_153_contig_6137112_8		rank: C;fructoselysine-6-phosphate deglycase (db=kegg)
281	932_SemiBin_153_contig_6137114_2	955_SemiBin_256_contig_4164738_6, 956_SemiBin_125_contig_955017_1, 969_SemiBin_208_contig_4993909_1, 983_SemiBin_12_contig_3607349_2, MEGAHIT-MetaBAT2-S935.60_contig_5798630_11, MEGAHIT-MetaBAT2-S937.180_contig_3991023_13, MEGAHIT-MetaBAT2-S942.31_contig_2233024_18, MEGAHIT-MetaBAT2-S943.132_contig_6677440_1, MEGAHIT-MetaBAT2-S945.11_contig_1072363_9, MEGAHIT-MetaBAT2-S946.102_contig_5360153_10, MEGAHIT-MetaBAT2-S946.206_contig_4795463_1, MEGAHIT-MetaBAT2-S957.66_contig_2889911_1, MEGAHIT-MetaBAT2-S957.66_contig_2889935_3, MEGAHIT-MetaBAT2-S959.110_contig_6841156_4, MEGAHIT-MetaBAT2-S962.24_contig_2292242_4, MEGAHIT-MetaBAT2-S970.191_contig_2451136_1, group10_bins.334_contig_6684565_52, group6_bins.275_contig_5808781_8, group9_bins.155_contig_7048786_15, group9_bins.67_contig_2480453_1	rank: C;UDP-N-acetylglucosamine 4,6-dehydratase [EC:4.2.1.135] (db=kegg)
282	932_SemiBin_153_contig_6137119_25		rank: C;glucose-1-phosphate adenylyltransferase [EC:2.7.7.27] (db=kegg)
